GeoID,BE_JFood_x,BE_Restaurant,BE_doctors,BE_pharmacy,BE_gym,BE_attraction,BE_TreeD,BE_LandMIX,BE_nodeD,BE_JFood_y,BE_HFood,BE_WalkVSDrive,BE_Transit,BE_Park,E_Advance,E_PreS,E_HighS,NE_Tem,NE_Ozone,NE_PM25,SE_Unemploy,SE_Income,SE_Cash,SE_Food,SE_Insurance,SE_Poverty,SE_English,OBESITY
36081028900,2.0,10.0,0.0,0.0,0.0,0.0,8.060502659217029,0.0115883330726395,1.4293333203841774,26.83333333333333,19.25,0.3609644453338264,54.583333333333336,28.233079721101745,38.3,24.7,100.0,93.76531250000006,41.9092418300654,8.9863095890411,3.8,68089.0,0.5,11.3,93.8,8.6,33.0,23.0
36081032900,4.0,2.0,0.0,0.0,0.0,0.0,5.204570585781108,0.0092029426442547,1.2224258315373846,16.448275862068964,4.517241379310345,0.3313069563940028,60.75862068965517,40.63254919124864,15.7,83.3,100.0,96.51241164241172,42.0068555555556,8.98035178082192,4.5,55395.0,2.9,10.2,95.5,11.2,39.0,26.1
36081035100,0.0,3.0,0.0,0.0,0.0,0.0,5.464145962388735,0.0,0.6684859422085883,21.666666666666668,10.22222222222222,0.3334082451211408,73.0,35.495732212423576,28.0,26.7,100.0,95.61394904458606,42.0655954248366,8.92454301369863,9.8,46920.0,1.4,14.2,92.4,9.2,43.0,26.8
36081037500,2.0,1.0,0.0,1.0,0.0,0.0,6.286538954159351,0.0053434372710859,1.6112557823678495,19.916666666666668,17.0,0.3601889165774978,58.583333333333336,21.226790773239102,14.5,50.9,91.5,95.91285714285716,42.091877124183,8.84964876712329,2.9,56875.0,4.6,26.0,75.5,16.2,40.1,29.7
36081037700,1.0,1.0,0.0,1.0,1.0,0.0,6.55995328994878,0.0,0.6615078947844214,20.3,15.3,0.3982470543452059,66.5,58.11304903540275,5.4,56.3,100.0,95.3141717791411,42.1183810457516,8.86676465753425,2.2,71728.0,1.8,29.2,62.9,10.2,42.7,29.8
36081037900,1.0,4.0,0.0,0.0,1.0,0.0,6.202768741220996,0.0057657048158618,0.6161690802544673,16.0,12.307692307692308,0.367905571580559,57.76923076923077,145.91797650596305,7.1,58.5,92.2,95.3922018348624,42.1743202614379,8.82577835616438,2.9,72799.0,0.8,27.5,72.3,11.6,45.3,30.3
36081039400,1.0,0.0,0.0,0.0,0.0,0.0,3.508599113282345,0.0,2.311957693855212,6.888888888888889,1.3333333333333333,0.3396875158862495,15.333333333333334,39.44955614530221,19.9,74.7,100.0,97.28406649616372,42.722777124183,8.19204547945206,9.6,79650.0,3.1,20.4,90.7,10.8,3.3,33.4
36081040200,1.0,0.0,0.0,0.0,0.0,0.0,4.8699380974457895,0.0,2.166474362741503,4.25,1.9,0.3081707042569322,31.05,30.315135929499803,25.8,100.0,100.0,96.37390041493786,42.7134509803922,8.25089150684932,4.2,101538.0,2.3,2.3,94.6,9.3,2.1,32.9
36081040300,0.0,2.0,0.0,1.0,0.0,0.0,4.34092872203346,0.0,0.4483588351391874,12.818181818181818,11.545454545454543,0.4022825014039645,50.45454545454545,263.26763387017127,7.6,62.5,95.3,94.56063636363646,42.1897588235294,8.78470931506849,5.1,60550.0,1.8,28.0,75.6,15.5,43.8,28.4
36081041300,0.0,0.0,0.0,0.0,0.0,0.0,5.173998246778716,0.0072405298940198,0.6626795784070301,13.285714285714286,12.857142857142858,0.4034750824590886,37.21428571428572,162.791804221539,4.3,78.7,100.0,95.45306818181822,42.15853006535951,8.76669780821918,2.6,55046.0,5.9,35.4,72.4,18.8,40.9,30.1
36081041500,0.0,0.0,0.0,0.0,0.0,0.0,4.71483606297063,0.003872099205525,0.5835193147249595,9.818181818181818,10.727272727272728,0.4159608756779487,39.72727272727273,372.9594641231544,12.0,100.0,100.0,96.39756476683948,42.221861437908494,8.73830273972603,3.8,51203.0,6.0,29.3,76.4,19.1,45.8,30.5
36081043400,0.0,0.0,0.0,0.0,0.0,0.0,6.630526388115044,0.0,3.344775922787975,6.294117647058823,2.647058823529412,0.3339476241845059,47.05882352941177,60.0708225527915,20.7,87.7,100.0,95.19500000000002,42.6127751633987,8.27309287671233,7.4,104063.0,7.0,15.5,91.6,4.5,0.0,32.0
36081044301,0.0,0.0,0.0,0.0,0.0,0.0,4.120588204207674,0.0128892614206873,1.878503446043507,22.714285714285715,13.714285714285714,0.407497066876868,43.642857142857146,180.9270693795788,12.4,100.0,100.0,97.08449664429536,42.1953098039216,8.73728,16.2,21699.0,2.8,52.2,84.7,33.8,51.0,31.3
36081044602,2.0,1.0,0.0,1.0,0.0,0.0,4.307027569948642,0.0,2.022637256611947,66.1,7.8,0.3576377222677351,80.0,29.92735882655281,31.5,63.4,100.0,96.26144385026744,42.5381562091503,8.36720739726027,13.9,41415.0,8.9,35.5,90.0,27.9,34.9,29.9
36081044800,0.0,0.0,0.0,0.0,0.0,0.0,5.462091848034355,0.0120582346091529,0.9913405133404792,63.53846153846154,6.846153846153846,0.4206287456477013,60.38461538461539,28.9416685638215,35.2,25.7,100.0,96.46766233766242,42.5237862745098,8.38002547945205,7.7,64500.0,4.2,6.4,88.3,18.8,28.5,23.1
36081045700,0.0,0.0,0.0,0.0,0.0,0.0,4.731702751826588,0.0,0.3763854461674831,16.1,9.4,0.3638598756893615,36.0,17.061162554594258,34.5,0.0,100.0,96.86831325301206,42.0732183006536,8.78821698630137,3.6,59318.0,2.5,8.7,85.4,9.7,40.7,18.3
36081045900,0.0,0.0,0.0,0.0,0.0,0.0,5.8244100851980525,0.0,0.3843519345544061,17.1,12.3,0.3788824806224116,38.3,18.33785751910641,30.0,62.1,100.0,96.3547368421053,42.075754248366,8.79699945205479,5.2,74375.0,4.0,15.4,82.9,11.3,40.7,18.9
36081046700,0.0,0.0,0.0,0.0,0.0,0.0,6.581102930291794,0.0061430034121581,0.5982820845737067,21.0,16.545454545454547,0.3782839420127447,36.63636363636363,18.32648201198862,19.3,58.6,100.0,93.58094339622644,42.0531810457516,8.85031671232877,6.0,40152.0,2.8,25.8,84.3,11.0,53.9,25.4
36081046900,0.0,5.0,0.0,2.0,0.0,0.0,6.041247189363091,0.0,1.042516107903671,23.923076923076923,17.923076923076923,0.3859474522223486,40.0,19.948819356597536,23.1,35.0,95.0,94.73107142857144,42.0227385620915,8.86605068493151,4.5,44450.0,4.2,19.6,89.9,13.3,52.3,24.5
36081048300,1.0,1.0,0.0,0.0,0.0,0.0,3.847831027790658,0.0105640699536663,0.6897055615873583,24.2,16.05,0.3392487548133685,28.0,19.08806766001873,37.2,100.0,100.0,94.87963855421684,41.900516993464095,8.95061123287671,2.6,63811.0,2.6,11.4,86.0,12.4,38.6,19.4
36081048900,0.0,1.0,0.0,0.0,0.0,0.0,2.3038011930501843,0.0,0.9424641244298836,14.903225806451612,10.225806451612904,0.3249444464578733,16.193548387096776,19.09511440982569,27.4,80.2,100.0,97.34257142857145,41.8971633986928,8.92743616438356,2.8,64708.0,2.7,7.5,86.0,11.9,28.9,20.7
36081049500,0.0,0.0,0.0,0.0,0.0,0.0,5.110108111585169,0.0013661750627518,1.0879585011676554,3.7222222222222223,5.611111111111111,0.2758346628989835,2.7777777777777777,59.24525455223836,25.2,59.7,100.0,93.99575539568352,41.8876816993464,8.87717369863014,9.4,75500.0,6.0,13.3,92.1,6.2,22.2,24.1
36081049600,0.0,1.0,1.0,0.0,0.0,0.0,5.371590049283944,0.0,0.784281742734447,15.454545454545457,5.181818181818182,0.3578162507734055,9.909090909090908,54.23592074907405,25.2,100.0,100.0,98.9816233766234,42.9306098039216,8.25749369863014,4.2,93295.0,5.4,10.8,91.4,5.4,8.5,26.0
36081050202,0.0,0.0,0.0,0.0,0.0,0.0,7.254328548789862,0.0,2.5681382088730857,17.53846153846154,6.846153846153846,0.4125882857037763,13.384615384615383,8.817005946566603,15.2,88.9,100.0,96.9607142857144,42.8380189542484,8.25939150684932,11.5,76313.0,2.6,15.5,92.5,10.4,3.6,33.2
36081050800,0.0,0.0,0.0,0.0,0.0,0.0,5.492422358280871,0.0,2.248575596342489,9.733333333333333,4.533333333333333,0.3861850363909546,13.133333333333333,7.875763639812405,18.6,52.5,96.2,96.92762295081974,42.8492320261438,8.22702931506849,9.4,64920.0,8.9,25.1,94.0,12.5,11.2,32.5
36081051200,1.0,0.0,0.0,0.0,0.0,0.0,5.923162634084265,0.0,0.9477060214539824,11.642857142857142,3.642857142857143,0.3510928896248086,13.035714285714286,9.374935664166395,25.8,68.5,100.0,96.72812949640291,42.9036183006536,8.23003342465753,10.3,85000.0,4.9,13.8,93.6,4.3,13.7,31.6
